 id |                                                                                                                                                                      prompt_text                                                                                                                                                                       |  status   |  job_type  |                          coalesce                           |                         coalesce                         |         created_at         |         updated_at         
 18 | A serene mountain lake at sunrise                                                                                                                                                                                                                                                                                                                      | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_031814_image_test_dry_run.txt |                                                          | 2025-07-21 03:17:57.875065 | 2025-07-21 03:18:16.212712
 19 | A peaceful zen garden with cherry blossoms                                                                                                                                                                                                                                                                                                             | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_032922_image_test_dry_run.txt |                                                          | 2025-07-21 03:29:04.424398 | 2025-07-21 03:29:24.333266
 20 | A majestic dragon flying over ancient mountains                                                                                                                                                                                                                                                                                                        | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_033445_image_test.png         |                                                          | 2025-07-21 03:34:28.299929 | 2025-07-21 03:34:46.547791
 21 | A cyberpunk cityscape with neon lights                                                                                                                                                                                                                                                                                                                 | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_033812_image_test_dry_run.txt |                                                          | 2025-07-21 03:37:45.646302 | 2025-07-21 03:38:14.37627
 22 | A mystical underwater palace with coral gardens                                                                                                                                                                                                                                                                                                        | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_033842_image_test.png         |                                                          | 2025-07-21 03:38:23.426419 | 2025-07-21 03:38:43.547481
 23 | A futuristic city with flying motors                                                                                                                                                                                                                                                                                                                   | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_034344_image_test.png         |                                                          | 2025-07-21 03:43:20.661518 | 2025-07-21 03:43:45.893818
 24 | A beautiful sunset over a calm ocean with sailing boats                                                                                                                                                                                                                                                                                                | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_034930_image_test.png         |                                                          | 2025-07-21 03:49:15.938048 | 2025-07-21 03:49:49.501151
 25 | A magical forest with glowing fireflies at twilight                                                                                                                                                                                                                                                                                                    | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_035300_image_test_dry_run.txt |                                                          | 2025-07-21 03:52:46.671184 | 2025-07-21 03:53:02.878462
 26 | A beautiful landscape with mountains and lakes at sunset                                                                                                                                                                                                                                                                                               | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_044712_image_test_dry_run.txt |                                                          | 2025-07-21 04:46:58.957584 | 2025-07-21 04:47:15.139855
 27 | A futuristic space station orbiting Earth                                                                                                                                                                                                                                                                                                              | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_044806_2244.png   | 2025-07-21 04:47:51.237252 | 2025-07-21 06:29:11.142066
 29 | A cyberpunk city with neon lights and flying cars at night                                                                                                                                                                                                                                                                                             | completed | IMAGE_TEST |                                                             | gs://test-bucket/test789.png                             | 2025-07-21 04:49:46.544943 | 2025-07-21 05:36:05.94753
 30 | A serene mountain lake with reflection at dawn                                                                                                                                                                                                                                                                                                         | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_045018_3156.png   | 2025-07-21 04:50:02.755388 | 2025-07-21 06:29:11.142066
 31 | A beautiful aurora borealis over snowy mountains                                                                                                                                                                                                                                                                                                       | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_054540_0173.png   | 2025-07-21 05:45:25.043988 | 2025-07-21 06:29:11.142066
 32 | A mystical dragon flying through clouds at sunset                                                                                                                                                                                                                                                                                                      | completed | IMAGE_TEST |                                                             | gs://test-bucket/test999.png                             | 2025-07-21 05:48:00.4885   | 2025-07-21 05:48:14.658605
 33 | A peaceful zen garden with cherry blossoms and koi pond                                                                                                                                                                                                                                                                                                | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_055310_1875.png   | 2025-07-21 05:52:48.28956  | 2025-07-21 06:29:11.142066
 34 | A mystical dragon flying through clouds at sunraise                                                                                                                                                                                                                                                                                                    | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_060612_6934.png   | 2025-07-21 06:06:01.923134 | 2025-07-21 06:29:11.142066
 35 | A majestic eagle soaring over snow-capped mountains                                                                                                                                                                                                                                                                                                    | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_061158_0970.png   | 2025-07-21 06:11:36.454828 | 2025-07-21 06:33:23.292992
 36 | A colorful hot air balloon floating over green fields                                                                                                                                                                                                                                                                                                  | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_061828_0848.png   | 2025-07-21 06:17:22.460419 | 2025-07-21 06:24:24.377137
 37 | A beautiful sunset over the ocean with sailing boats                                                                                                                                                                                                                                                                                                   | completed | IMAGE_TEST |                                                             |                                                          | 2025-07-21 06:23:46.098549 | 2025-07-21 06:24:08.828035
 38 | 蜂蜜覆盖的机械键盘按键微距画面，每次按下都会缓慢流淌，光影柔和，超现实主义风格                                                                                                                                                                                                                                                                         | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_063750_2433.png   | 2025-07-21 06:36:49.625026 | 2025-07-21 06:38:32.542317
 39 | 一颗水晶草莓被炽热刀刃切割，特写镜头，电影级灯光效果，超清 4K，细节丰富                                                                                                                                                                                                                                                                                | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_064640_1525.png   | 2025-07-21 06:37:17.380343 | 2025-07-21 06:48:51.116718
 40 | 透明水晶立方体内部流动着蓝色流体，被精致小刀切开，侧光照明，赛博朋克色调                                                                                                                                                                                                                                                                               | completed | IMAGE_TEST |                                                             | gs://veo_test1/images/img_gen_20250721_070245_4574.png   | 2025-07-21 06:37:23.845308 | 2025-07-21 07:03:59.374199
 41 | 一只可爱的橙色小猫咪坐在彩虹色的花朵中，卡通风格，明亮的色彩                                                                                                                                                                                                                                                                                           | pending   | IMAGE_TEST |                                                             |                                                          | 2025-07-21 07:02:19.853147 | 2025-07-21 07:02:19.853147
 42 | Cutting through a gleaming 24-karat gold bar with a mirror-silver santoku blade, captured in an 8-second ultra-silent ASMR sequence. Hands: slender fingers with pearlescent pink nails guide the slice. Camera: slow dolly-in 45-degree macro, 60 fps, cinematic 4K. Lighting: softbox key light plus subtle rim glow on a walnut-wood surface.       | failed    | VIDEO_PROD |                                                             |                                                          | 2025-07-21 07:37:27.117174 | 2025-07-21 09:29:40.488794
 43 | Cutting through a solid gold chess king piece with an iridescent oil-slick santoku blade, captured in an 8-second ultra-silent ASMR sequence. Hands: slender fingers with matte nude nails guide the slice. Camera: locked-off 30-degree macro, 60 fps, cinematic 4K. Lighting: softbox key light plus dramatic rim light on a light maple surface.    | completed | VIDEO_PROD |                                                             | gs://veo_test1/videos/video_20250721_102759_3b63c5ab.mp4 | 2025-07-21 07:41:24.640593 | 2025-07-21 10:27:59.274592
(42 rows)

